,District,Cluster0,Cluster1,Cluster2
0,BUNDI,1,9,3
1,JAISALMER,1,9,3
2,BHILWARA,0,6,7
3,LUDHIANA,0,15,2
4,GURDASPUR,4,8,1
5,TONK,0,7,6
6,CHITTORGRAH,0,3,10
7,SHAHEED BHAGAT SINGH NAGAR,1,5,0
8,KARNAL,3,5,5
9,JALANDHAR,0,11,4
10,BIKANER,2,8,2
11,UDAIPUR,0,9,4
12,ALWAR,0,11,2
13,ROHTAK,3,8,2
14,HAMUNANGARH,1,6,6
15,PATIALA,0,8,5
16,CHURU,2,9,2
17,JALOR,0,8,5
18,JODHPUR,1,7,9
19,SIKAR,4,6,3
20,BARMER,7,5,1
21,AJMER ,0,11,2
22,FAZILKA,2,1,0
23,BARNALA,1,9,3
24,FARIDABAD,7,6,0
25,MAHENDRAGARH,0,5,8
26,SAHIBZADA AJIT SINGH NAGAR,0,8,0
27,AMRITSAR,5,9,2
28,KURUKSHETRA,0,5,8
29,RAJSAMAND,0,2,11
30,NUH,1,5,3
31,JHALAWAR,0,4,9
32,KOTA,4,4,13
33,PANCHKULA,9,4,0
34,YAMUNANAGAR,0,3,10
35,SRI GANGANAGAR,0,9,4
36,KAPURTHALA,4,6,3
37,SANGRUR,0,12,1
38,NAGUAR,3,7,3
39,SIROHI,2,9,2
40,KAITHAL,0,9,4
41,PRATAPGARH,0,4,2
42,DAUSA,3,9,1
43,JHUNJHUNUN,0,6,7
44,JHAJJAR,3,9,0
45,PANIPAT,0,6,4
46,TARN TARAN,0,10,3
47,MUKTSAR,3,5,5
48,FATEGARH SAHIB,2,11,0
49,DHAULPUR ,0,9,4
50,FATEHABAD,2,8,3
51,DUNGAPUR,3,9,1
52,PALWAL,0,4,4
53,BANASWARA,4,9,0
54,PATHANKOT,1,0,3
55,GURUGRAM,0,8,5
56,JIND,4,9,0
57,BATHINDA,0,12,1
58,JAIPUR,4,27,9
59,RUPNAGAR,0,11,2
60,FARIDKOT,0,9,4
61,FIROZPUR,0,4,0
62,BHARATPUR,1,10,2
63,MANSA,2,10,1
64,AMBALA,4,7,0
65,BHIWANI,9,3,1
66,HISAR,0,14,0
67,PALI,10,0,3
68,REWARI,0,9,4
69,BARAN,0,6,7
70,MOGA,2,3,8
71,HOSHIARPUR,0,9,4
72,KARAULI,5,4,4
73,SIRSA,2,4,7
74,SAWAI MADHOPUR,0,8,5
75,SONIPAT,0,4,9
